team_id,class,team_name,rank,1試合平均チャンスクリエイト数
001,J1,鹿島アントラーズ,11,9.3
002,J1,川崎フロンターレ,1,12.3
003,J1,セレッソ大阪,3,11.9
004,J1,清水エスパルス,8,10.1
005,J1,京都サンガF.C.,12,9.2
006,J1,浦和レッズ,7,10.2
007,J1,名古屋グランパス,18,7.5
008,J1,柏レイソル,4,11.6
009,J1,ＦＣ町田ゼルビア,17,7.8
010,J1,ガンバ大阪,1,12.3
011,J1,アビスパ福岡,5,10.9
012,J1,アルビレックス新潟,10,9.4
013,J1,サンフレッチェ広島,6,10.6
014,J1,横浜Ｆ・マリノス,13,9.0
015,J1,ヴィッセル神戸,15,8.2
016,J1,ファジアーノ岡山,14,8.4
017,J1,湘南ベルマーレ,9,10.0
018,J1,ＦＣ東京,16,8.1
019,J1,東京ヴェルディ,19,7.4
020,J1,横浜ＦＣ,20,6.8
