team_id,class,team_name,rank,1試合平均こぼれ球奪取数
001,J1,鹿島アントラーズ,10,34.5
002,J1,川崎フロンターレ,9,34.9
003,J1,セレッソ大阪,4,37.3
004,J1,清水エスパルス,12,34.2
005,J1,京都サンガF.C.,20,29.8
006,J1,浦和レッズ,5,36.4
007,J1,名古屋グランパス,17,30.0
008,J1,柏レイソル,15,30.4
009,J1,ＦＣ町田ゼルビア,11,34.3
010,J1,ガンバ大阪,3,37.6
011,J1,アビスパ福岡,7,35.4
012,J1,アルビレックス新潟,16,30.3
013,J1,サンフレッチェ広島,2,37.9
014,J1,横浜Ｆ・マリノス,8,35.2
015,J1,ヴィッセル神戸,1,42.6
016,J1,ファジアーノ岡山,6,36.1
017,J1,湘南ベルマーレ,14,33.4
018,J1,ＦＣ東京,17,30.0
019,J1,東京ヴェルディ,19,29.9
020,J1,横浜ＦＣ,13,34.1
