match_no,scenario,first_stage_locked80,first_stage_all_same,best_prob,second_prob,third_prob,top_gap,spread,decision_reason
1,experimental,after_ticket_generation,after_ticket_generation,0.5134,0.3112,0.1753,0.2022,0.3381,BALANCE_HA
2,experimental,after_ticket_generation,after_ticket_generation,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
3,experimental,after_draw_distribution,after_draw_distribution,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
4,experimental,after_ticket_generation,after_ticket_generation,0.5145,0.3109,0.1746,0.2035,0.3398,BALANCE_HA
5,experimental,after_ticket_generation,after_ticket_generation,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
6,experimental,after_ticket_generation,after_ticket_generation,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
7,experimental,after_ticket_generation,after_ticket_generation,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
8,experimental,after_ticket_generation,after_ticket_generation,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
9,experimental,after_ticket_generation,after_ticket_generation,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
10,experimental,,,0.5037,0.3136,0.1827,0.1901,0.321,BALANCE_HA
11,experimental,after_ticket_generation,after_ticket_generation,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
12,experimental,after_ticket_generation,after_ticket_generation,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
13,experimental,after_ticket_generation,after_ticket_generation,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
1,lock_strict,after_ticket_generation,after_ticket_generation,0.5134,0.3112,0.1753,0.2022,0.3381,BALANCE_HA
2,lock_strict,after_ticket_generation,after_ticket_generation,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
3,lock_strict,after_ticket_generation,after_ticket_generation,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
4,lock_strict,after_ticket_generation,after_ticket_generation,0.5145,0.3109,0.1746,0.2035,0.3398,BALANCE_HA
5,lock_strict,,,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
6,lock_strict,,,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
7,lock_strict,after_draw_distribution,after_draw_distribution,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
8,lock_strict,after_ticket_generation,after_ticket_generation,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
9,lock_strict,after_draw_distribution,after_draw_distribution,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
10,lock_strict,after_ticket_generation,after_ticket_generation,0.5037,0.3136,0.1827,0.1901,0.321,BALANCE_HA
11,lock_strict,,,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
12,lock_strict,after_ticket_generation,after_ticket_generation,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
13,lock_strict,,,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
1,prob_faithful,after_ticket_generation,after_ticket_generation,0.5134,0.3112,0.1753,0.2022,0.3381,BALANCE_HA
2,prob_faithful,after_ticket_generation,after_ticket_generation,0.5832,0.2862,0.1306,0.2969,0.4526,BALANCE_HA
3,prob_faithful,after_ticket_generation,after_draw_distribution,0.3578,0.3407,0.3015,0.0171,0.0563,BALANCE_DRAW
4,prob_faithful,after_ticket_generation,after_ticket_generation,0.5145,0.3109,0.1746,0.2035,0.3398,BALANCE_HA
5,prob_faithful,after_ticket_generation,after_ticket_generation,0.3678,0.34,0.2922,0.0277,0.0756,BALANCE_HA
6,prob_faithful,,,0.3737,0.3396,0.2868,0.0341,0.0869,BALANCE_HA
7,prob_faithful,,,0.3796,0.339,0.2814,0.0406,0.0983,BALANCE_HA
8,prob_faithful,,,0.4003,0.3366,0.2631,0.0637,0.1372,BALANCE_HA
9,prob_faithful,,,0.3949,0.3366,0.2685,0.0583,0.1264,BALANCE_HA
10,prob_faithful,after_ticket_generation,after_ticket_generation,0.5037,0.3136,0.1827,0.1901,0.321,BALANCE_HA
11,prob_faithful,after_ticket_generation,,0.3407,0.3327,0.3265,0.008,0.0142,BALANCE_DRAW
12,prob_faithful,after_ticket_generation,,0.4134,0.334,0.2525,0.0794,0.1609,BALANCE_HA
13,prob_faithful,after_ticket_generation,after_unique_repair,0.3407,0.3374,0.3219,0.0033,0.0188,BALANCE_DRAW
