test_round,train_round_min,train_round_max,selected_draw_boost,selected_temperature,selected_home_shift,train_objective,train_logloss,train_brier,train_accuracy
6,1,5,1.1,1.1,0.02,1.259494565641395,1.0930818976583891,0.6656506719320234,0.3247863247863248
7,1,6,1.08,1.1,0.02,1.261100268966939,1.0946097220278217,0.6659621877564694,0.35766423357664234
8,1,7,1.0,1.1,0.02,1.263076274391017,1.0963668673949671,0.6668376279842,0.34394904458598724
9,1,8,1.0,1.1,0.02,1.2598995819942722,1.093667492668001,0.6649283573050847,0.3389830508474576
10,1,9,1.0,1.1,0.02,1.25595856041807,1.0903440100544468,0.6624582014544932,0.3604060913705584
11,1,10,1.0,1.1,0.02,1.2604559844139949,1.0942418610423323,0.6648564934866498,0.35944700460829493
12,1,11,1.0,1.1,0.02,1.2593454916603333,1.0933336443910342,0.6640473890771963,0.3628691983122363
13,1,12,1.0,1.1,0.02,1.25998035745932,1.0938562449454547,0.664496450055461,0.3657587548638132
14,1,13,1.0,1.1,0.02,1.2604909227936227,1.0943192551087069,0.6646866707396633,0.36823104693140796
15,1,14,1.0,1.1,0.02,1.261201815230328,1.0950142284156585,0.6647503472586774,0.37373737373737376
16,1,15,1.0,1.1,0.02,1.2575345310348893,1.0919068931230027,0.6625105516475468,0.38170347003154576
17,1,16,1.0,1.1,0.02,1.2531710453905769,1.088197959509298,0.6598923435251154,0.3827893175074184
18,1,17,1.0,0.95,0.02,1.2492815670725863,1.0849148909475728,0.6574667045000538,0.39775910364145656
19,1,18,1.0,1.1,0.02,1.2555567199668003,1.090285696527994,0.6610840937552257,0.38992042440318303
20,1,19,1.0,1.1,0.02,1.2536141291718084,1.0886655889276167,0.6597941609767669,0.3979848866498741
21,1,20,1.0,1.1,0.02,1.252450788941005,1.087675360954371,0.6591017119465358,0.3980815347721823
22,1,21,1.0,1.05,0.02,1.2504799545073364,1.0859796642985928,0.6580011608349743,0.40274599542334094
23,1,22,1.0,1.1,0.02,1.2536253284287664,1.0886774988955772,0.6597913181327567,0.40043763676148797
24,1,23,1.0,1.1,0.02,1.250424635355936,1.0859577853511142,0.6578674000192876,0.40041928721174
25,1,24,1.0,1.1,0.02,1.251636599622512,1.0869730089646088,0.658654362631613,0.3983903420523139
26,1,25,1.0,1.05,0.02,1.2460690448675376,1.0822612896628585,0.6552310208187165,0.40618955512572535
27,1,26,1.0,1.1,0.02,1.2484944987436584,1.0844007045158668,0.6563751769111664,0.40409683426443205
28,1,27,1.0,1.0,0.02,1.24167840949601,1.0786110656516446,0.6522693753774617,0.414721723518851
29,1,28,1.0,1.05,0.02,1.2433275927089904,1.0800012215727548,0.6533054845449421,0.41421143847487
30,1,29,1.0,1.05,0.02,1.24332117054417,1.0799524224813644,0.653474992251223,0.4154103852596315
31,1,30,1.0,1.1,0.02,1.2454821272103813,1.0818492703336144,0.6545314275070679,0.41491085899513774
32,1,31,1.0,1.1,0.02,1.2434772368026394,1.0801304267294827,0.6533872402926267,0.4175824175824176
33,1,32,1.0,1.05,0.02,1.239542601434451,1.076814033557055,0.650914271509584,0.4216133942161339
34,1,33,1.0,1.0,0.02,1.2377863117980452,1.0753303071595064,0.649824018554155,0.4224519940915805
35,1,34,1.0,1.05,0.02,1.2383453526231345,1.0757404368089707,0.6504196632566555,0.4218077474892396
36,1,35,1.0,1.0,0.02,1.2365072997825157,1.0741795544629553,0.6493109812782418,0.42538354253835425
37,1,36,1.0,1.0,0.02,1.2356579173963813,1.0734647211456676,0.6487727850028544,0.42740841248303935
38,1,37,1.0,1.05,0.02,1.2354445380094012,1.07327663159303,0.6486716256654846,0.42536327608982827
